Assignment,Points,Date,Time
[Mini-Report 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini1),25,2/4/26,5 PM MT
[Mini-Report 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini2),25,2/18/26,5 PM MT
[Mini-Report 3](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3),50,3/11/26,5 PM MT
[Group Lab presentation](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html),50,4/29/26,9 AM MT
[Group Lab report](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html),150,4/29/26,5 PM MT
