Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap size misassemblies	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
SRR5759239_assembly.scafSeq	1243	75	1152	16	1174	6702382	772	8	212	215	53457	112265	51446	60819	799536
SRR5759239_assembly.scafSeq_broken	594	49	533	12	576	1879270	414	-	119	73	35172	30715	24515	6200	102560
